,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss,5_test_L0_t_103,5_test_acc_t_103,5_test_loss_t_103,5_test_L0_t_104,5_test_acc_t_104,5_test_loss_t_104,5_test_L0_t_105,5_test_acc_t_105,5_test_loss_t_105,5_test_L0_t_108,5_test_acc_t_108,5_test_loss_t_108,5_test_L0_t_109,5_test_acc_t_109,5_test_loss_t_109
0,1.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,1.0,28.0,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",,,,,,,,,,,,,,,,,,
1,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,0.0,0.2421875,,,,,,,,,,,,,
2,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,0.0,0.2603515684604645,,,,,,,,,,,,,
3,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.7308593988418579,0.7025793790817261,0.0,0.7308593988418579,0.7025793790817261,,,,,,,,,,,,
4,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,0.0,0.2421875,,,,,,,,,,
5,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,0.0,0.2603515684604645,,,,,,,,,,
6,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,1.0,0.36215049028396606,,,,0.0,1.0,0.36215049028396606,,,,,,,,,
7,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,,,,0.0,0.2421875,,,,,,,
8,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,,,,0.0,0.2603515684604645,,,,,,,
9,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2816406190395355,1.5257859230041504,,,,,,,0.0,0.2816406190395355,1.5257859230041504,,,,,,
10,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,,,,,,,0.0,0.2421875,,,,
11,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,,,,,,,0.0,0.2603515684604645,,,,
12,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.998046875,0.443279504776001,,,,,,,,,,0.0,0.998046875,0.443279504776001,,,
13,1.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,,,,,,,,,,0.0,0.2421875,
14,1.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,,,,,,,,,,0.0,0.2603515684604645,
15,1.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.20332030951976776,1.3903858661651611,,,,,,,,,,,,,0.0,0.20332030951976776,1.3903858661651611
16,2.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,0.9980000257492065,88.0,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",,,,,,,,,,,,,,,,,,
17,2.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,0.0,0.2421875,,,,,,,,,,,,,
18,2.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,0.0,0.2603515684604645,,,,,,,,,,,,,
19,2.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.764843761920929,0.7281385064125061,0.0,0.764843761920929,0.7281385064125061,,,,,,,,,,,,
20,2.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,0.0,0.2421875,,,,,,,,,,
21,2.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,0.0,0.2603515684604645,,,,,,,,,,
22,2.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.9970703125,0.3747708201408386,,,,0.0,0.9970703125,0.3747708201408386,,,,,,,,,
23,2.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,,,,0.0,0.2421875,,,,,,,
24,2.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,,,,0.0,0.2603515684604645,,,,,,,
25,2.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.32890623807907104,1.4739389419555664,,,,,,,0.0,0.32890623807907104,1.4739389419555664,,,,,,
26,2.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,,,,,,,0.0,0.2421875,,,,
27,2.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,,,,,,,0.0,0.2603515684604645,,,,
28,2.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.994140625,0.4649069905281067,,,,,,,,,,0.0,0.994140625,0.4649069905281067,,,
29,2.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2421875,,,,,,,,,,,,,,0.0,0.2421875,
30,2.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2603515684604645,,,,,,,,,,,,,,0.0,0.2603515684604645,
31,2.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,1.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.32988280057907104,1.3926259279251099,,,,,,,,,,,,,0.0,0.32988280057907104,1.3926259279251099
32,3.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,1.0,29.0,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",,,,,,,,,,,,,,,,,,
33,3.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,0.0,0.2568359375,,,,,,,,,,,,,
34,3.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,0.0,0.25273436307907104,,,,,,,,,,,,,
35,3.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.7113281488418579,0.6269216537475586,0.0,0.7113281488418579,0.6269216537475586,,,,,,,,,,,,
36,3.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,0.0,0.2568359375,,,,,,,,,,
37,3.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,0.0,0.25273436307907104,,,,,,,,,,
38,3.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,1.0,0.23505187034606934,,,,0.0,1.0,0.23505187034606934,,,,,,,,,
39,3.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,,,,0.0,0.2568359375,,,,,,,
40,3.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,,,,0.0,0.25273436307907104,,,,,,,
41,3.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2740234434604645,1.6344327926635742,,,,,,,0.0,0.2740234434604645,1.6344327926635742,,,,,,
42,3.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,,,,,,,0.0,0.2568359375,,,,
43,3.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,,,,,,,0.0,0.25273436307907104,,,,
44,3.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.9970703125,0.2965765595436096,,,,,,,,,,0.0,0.9970703125,0.2965765595436096,,,
45,3.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,,,,,,,,,,0.0,0.2568359375,
46,3.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,,,,,,,,,,0.0,0.25273436307907104,
