,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss,5_test_L0_t_103,5_test_acc_t_103,5_test_loss_t_103,5_test_L0_t_104,5_test_acc_t_104,5_test_loss_t_104,5_test_L0_t_105,5_test_acc_t_105,5_test_loss_t_105,5_test_L0_t_108,5_test_acc_t_108,5_test_loss_t_108,5_test_L0_t_109,5_test_acc_t_109,5_test_loss_t_109
47,3.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.130859375,1.4030333757400513,,,,,,,,,,,,,0.0,0.130859375,1.4030333757400513
48,4.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,0.9959999918937683,90.0,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",,,,,,,,,,,,,,,,,,
49,4.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,0.0,0.2568359375,,,,,,,,,,,,,
50,4.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,0.0,0.25273436307907104,,,,,,,,,,,,,
51,4.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.7574218511581421,0.6199936866760254,0.0,0.7574218511581421,0.6199936866760254,,,,,,,,,,,,
52,4.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,0.0,0.2568359375,,,,,,,,,,
53,4.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,0.0,0.25273436307907104,,,,,,,,,,
54,4.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,1.0,0.21194344758987427,,,,0.0,1.0,0.21194344758987427,,,,,,,,,
55,4.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,,,,0.0,0.2568359375,,,,,,,
56,4.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,,,,0.0,0.25273436307907104,,,,,,,
57,4.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.3150390684604645,1.6731268167495728,,,,,,,0.0,0.3150390684604645,1.6731268167495728,,,,,,
58,4.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,,,,,,,0.0,0.2568359375,,,,
59,4.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,,,,,,,0.0,0.25273436307907104,,,,
60,4.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.9951171875,0.26381435990333557,,,,,,,,,,0.0,0.9951171875,0.26381435990333557,,,
61,4.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2568359375,,,,,,,,,,,,,,0.0,0.2568359375,
62,4.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.25273436307907104,,,,,,,,,,,,,,0.0,0.25273436307907104,
63,4.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,2.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.29960936307907104,1.4081581830978394,,,,,,,,,,,,,0.0,0.29960936307907104,1.4081581830978394
64,5.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,1.0,27.0,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",,,,,,,,,,,,,,,,,,
65,5.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,0.0,0.24355468153953552,,,,,,,,,,,,,
66,5.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,0.0,0.2529296875,,,,,,,,,,,,,
67,5.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,103,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.804882824420929,0.8958444595336914,0.0,0.804882824420929,0.8958444595336914,,,,,,,,,,,,
68,5.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,0.0,0.24355468153953552,,,,,,,,,,
69,5.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,0.0,0.2529296875,,,,,,,,,,
70,5.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,1.0,0.6444666981697083,,,,0.0,1.0,0.6444666981697083,,,,,,,,,
71,5.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,,,,0.0,0.24355468153953552,,,,,,,
72,5.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,,,,0.0,0.2529296875,,,,,,,
73,5.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,105,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.32636719942092896,1.398434042930603,,,,,,,0.0,0.32636719942092896,1.398434042930603,,,,,,
74,5.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,,,,,,,0.0,0.24355468153953552,,,,
75,5.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,,,,,,,0.0,0.2529296875,,,,
76,5.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,108,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.9990234375,0.7613458633422852,,,,,,,,,,0.0,0.9990234375,0.7613458633422852,,,
77,5.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,,,,,,,,,,0.0,0.24355468153953552,
78,5.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,,,,,,,,,,0.0,0.2529296875,
79,5.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,109,,,L0resnet50,64.0,0.01,-0.01,"['stage_3', 'stage_4']",0.0,0.4105468690395355,1.3870234489440918,,,,,,,,,,,,,0.0,0.4105468690395355,1.3870234489440918
80,6.0,1.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,0.9980000257492065,90.0,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",,,,,,,,,,,,,,,,,,
81,6.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,0.0,0.24355468153953552,,,,,,,,,,,,,
82,6.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,0.0,0.2529296875,,,,,,,,,,,,,
83,6.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,103,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.7542968988418579,0.6337995529174805,0.0,0.7542968988418579,0.6337995529174805,,,,,,,,,,,,
84,6.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,0.0,0.24355468153953552,,,,,,,,,,
85,6.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,0.0,0.2529296875,,,,,,,,,,
86,6.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,104,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,1.0,0.2387293428182602,,,,0.0,1.0,0.2387293428182602,,,,,,,,,
87,6.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,,,,0.0,0.24355468153953552,,,,,,,
88,6.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,,,,0.0,0.2529296875,,,,,,,
89,6.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,105,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.3203125,1.625841498374939,,,,,,,0.0,0.3203125,1.625841498374939,,,,,,
90,6.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,,,,,,,0.0,0.24355468153953552,,,,
91,6.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,,,,,,,0.0,0.2529296875,,,,
92,6.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,108,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.99609375,0.2994166612625122,,,,,,,,,,0.0,0.99609375,0.2994166612625122,,,
93,6.0,0.0,104,zero,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.24355468153953552,,,,,,,,,,,,,,0.0,0.24355468153953552,
94,6.0,0.0,104,random,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.2529296875,,,,,,,,,,,,,,0.0,0.2529296875,
95,6.0,0.0,104,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/model1_T104_-0.01_2stage,CNN,3.0,CVRTDataModule,109,,,L0resnet50,64.0,0.0001,-0.01,"['stage_3', 'stage_4']",0.0,0.3158203065395355,1.398985743522644,,,,,,,,,,,,,0.0,0.3158203065395355,1.398985743522644
